,2.5,2.57,2.63,2.7,2.76,2.83,2.89,2.96,3.02,3.09,3.15,3.22,3.28,3.35,3.41,3.48,3.55,3.61,3.68,3.74,3.81,3.87,3.94,4.0,4.07,4.13,4.2,4.26,4.33,4.39,4.46,4.53,4.59,4.66,4.72,4.79,4.85,4.92,4.98,5.05,5.11,5.18,5.24,5.31,5.37,5.44,5.51,5.57,5.64,5.7,5.77,5.83,5.9,5.96,6.03,6.09,6.16,6.22,6.29,6.35,6.42,6.49,6.55,6.62,6.68,6.75,6.81,6.88,6.94,7.01,7.07,7.14,7.2,7.27,7.33,7.4,7.47,7.53,7.6,7.66,7.73,7.79,7.86,7.92,7.99,8.05,8.12,8.18,8.25,8.31,8.38,8.45,8.51,8.58,8.64,8.71,8.77,8.84,8.9,8.97,9.03,9.1,9.16,9.23,9.29,9.36,9.42,9.49,9.56,9.62,9.69,9.75,9.82,9.88,9.95,10.01,10.08,10.14,10.21,10.27,10.34,10.4,10.47,10.54,10.6,10.67,10.73,10.8,10.86,10.93,10.99,11.06,11.12,11.19,11.25,11.32,11.38,11.45,11.52,11.58,11.65,11.71,11.78,11.84,11.91,11.97,12.04,12.1,12.17,12.23,12.3,12.36,12.43,12.5,12.56,12.63,12.69,12.76,12.82,12.89,12.95,13.02,13.08,13.15,13.21,13.28,13.34,13.41,13.48,13.54,13.61,13.67,13.74,13.8,13.87,13.93,14.0,14.06,14.13,14.19,14.26,14.32,14.39
11:30:54,78.545,78.679,78.628,78.517,78.552,78.458,78.253,77.795,77.622,77.602,77.785,77.736,77.725,77.805,77.907,78.028,78.278,78.446,78.602,78.754,79.072,79.113,78.855,78.777,78.624,78.392,78.338,78.181,78.157,78.335,78.529,78.515,78.517,78.751,78.92,79.134,79.243,79.035,78.583,78.391,78.362,78.342,78.573,78.458,78.63,78.798,78.934,79.054,79.267,79.819,80.118,79.951,79.657,79.111,78.973,78.813,78.732,78.778,78.832,78.902,78.709,78.517,78.597,79.019,79.413,79.729,79.772,79.542,79.148,78.955,78.79,78.506,78.156,77.726,77.162,76.813,76.55,76.578,76.697,76.877,76.923,76.928,77.049,77.241,77.59,77.812,77.857,77.97,78.07,78.226,78.285,78.249,78.368,78.638,78.738,78.738,78.766,78.77,78.666,78.542,78.35,78.169,78.216,78.204,78.063,78.037,77.993,77.932,77.911,77.891,77.819,77.966,78.376,78.945,79.37,79.431,79.41,79.356,79.303,79.256,79.286,79.496,79.65,79.468,79.018,78.393,78.244,78.391,78.705,79.035,79.379,79.719,79.957,80.037,80.245,80.231,80.425,80.509,80.389,80.035,79.649,79.233,78.756,78.106,77.464,76.938,76.626,76.344,76.06,75.816,75.703,75.734,75.793,75.911,76.339,76.86,77.237,77.869,78.621,79.32,79.808,80.056,80.031,79.955,79.783,79.499,79.16,78.921,78.541,78.229,77.951,77.785,77.737,77.764,77.902,78.095,78.171,78.315,78.599,78.743,78.729,78.767,79.067
11:31:14,78.68,78.863,79.042,78.812,78.289,78.017,78.011,78.384,78.63,78.748,78.923,79.015,79.17,79.172,79.535,79.75,79.768,79.683,79.499,79.385,79.446,79.569,79.403,79.161,79.125,78.857,78.621,78.483,78.284,78.126,77.949,77.632,77.224,77.696,78.047,77.95,77.911,77.94,77.952,78.209,78.488,78.709,79.098,79.645,79.292,78.85,78.542,78.44,78.603,78.759,78.663,78.502,78.35,78.367,78.602,78.558,78.48,78.783,79.118,79.224,79.314,79.278,79.245,79.341,79.288,79.002,79.058,79.147,79.06,78.898,78.759,78.436,78.285,78.169,78.034,78.094,78.078,78.059,78.144,78.353,78.43,78.425,78.578,78.723,78.969,79.026,79.088,79.179,79.232,79.38,79.345,79.168,79.083,79.035,78.895,78.565,78.491,78.196,77.877,77.746,77.854,78.08,78.502,78.906,79.308,79.747,80.179,80.357,80.44,80.502,80.229,79.713,79.326,79.219,79.154,79.136,79.039,78.895,78.711,78.577,78.331,78.304,78.61,78.88,79.047,79.058,78.846,78.761,79.056,79.325,79.472,79.692,79.661,79.61,79.605,79.447,79.449,79.623,79.504,78.809,78.309,78.208,78.489,78.994,79.186,79.27,79.633,79.981,80.032,80.205,80.55,80.79,80.721,80.627,80.341,79.957,79.604,79.216,78.836,78.59,78.362,78.178,78.007,77.872,77.481,77.309,77.583,77.84,77.949,78.061,78.364,78.775,79.236,79.663,79.875,80.03,80.205,79.798,79.441,79.18,78.863,78.785,78.699
11:31:34,78.091,78.276,78.148,77.889,77.73,77.799,77.906,78.101,78.356,78.694,79.154,79.579,79.895,79.991,79.986,79.941,79.905,79.759,79.548,79.385,79.316,79.073,78.808,78.555,78.621,78.866,78.936,78.808,78.67,78.512,78.374,78.185,78.198,78.449,78.492,78.31,77.824,77.554,77.494,77.522,77.892,78.237,78.431,78.323,77.935,77.828,78.021,78.609,79.033,79.082,79.065,78.858,78.535,78.238,78.112,78.049,77.952,77.912,77.789,77.782,78.131,78.473,78.397,78.251,78.101,78.223,78.631,79.135,79.138,78.981,78.825,78.539,78.35,78.528,78.969,79.453,79.488,79.168,78.623,78.439,78.61,78.849,79.101,79.201,78.979,78.598,78.229,78.132,78.318,78.65,78.943,78.987,78.82,78.652,78.484,78.533,78.268,78.133,78.044,77.7,77.278,76.853,76.691,76.623,76.621,76.829,77.068,77.579,77.914,78.16,78.591,79.112,79.61,79.802,80.008,80.282,80.428,80.592,80.747,80.541,80.174,79.802,79.509,79.353,79.225,79.181,78.95,78.591,78.258,77.875,77.844,78.293,78.561,78.722,78.867,79.156,79.55,79.806,79.908,80.028,80.209,80.457,80.378,80.294,80.201,80.014,79.463,78.787,78.514,78.523,78.495,78.559,78.606,78.364,78.237,78.223,78.357,78.696,79.028,79.215,79.278,79.282,79.097,78.802,78.56,78.205,77.795,77.249,77.019,76.793,76.658,76.858,77.095,77.421,77.663,78.068,78.581,79.027,79.344,79.397,79.555,79.701,79.631
11:31:53,77.989,77.94,77.926,78.155,78.465,78.793,79.316,79.791,80.157,80.418,80.714,80.863,80.791,80.535,80.119,79.972,79.922,79.704,79.307,78.976,78.58,78.422,78.473,78.666,78.751,78.686,78.483,78.484,78.529,78.559,78.472,78.604,78.656,78.614,78.638,78.769,78.847,78.93,78.665,78.398,78.481,78.587,78.457,78.437,78.499,78.649,78.928,79.256,79.156,79.165,79.301,79.287,79.622,80.136,80.391,80.568,80.508,80.021,79.623,79.719,79.775,79.613,79.281,78.636,78.197,78.074,77.863,77.781,78.063,78.001,77.706,77.358,77.423,77.784,78.165,78.207,78.026,78.022,78.24,78.375,78.698,78.972,79.215,78.991,78.47,77.988,78.028,78.435,78.566,78.457,78.337,78.388,78.29,78.102,78.056,78.038,78.139,78.128,78.03,78.088,78.187,78.197,78.133,78.286,78.598,78.736,79.07,79.279,79.016,78.585,78.222,78.146,78.326,78.399,78.267,78.089,78.095,77.805,77.503,77.747,77.987,78.22,78.445,78.647,78.758,79.015,79.179,79.305,79.465,79.488,79.513,79.679,79.743,79.503,79.116,78.713,78.327,78.378,78.483,78.303,78.265,78.438,78.61,78.941,79.185,79.361,79.717,80.056,79.899,79.74,80.026,80.298,80.17,79.891,79.267,78.726,78.374,78.112,77.922,77.887,77.843,77.746,77.328,77.164,77.03,77.291,77.747,78.195,78.612,78.829,79.033,79.225,79.311,79.492,79.438,79.457,79.262,78.869,78.526,78.178,77.943,77.958,77.945
11:32:13,78.995,79.113,79.274,79.1,78.816,78.595,78.587,78.549,78.489,78.414,78.089,77.767,77.541,77.399,77.362,77.225,77.043,77.214,77.419,77.871,78.37,78.756,78.877,78.941,78.942,79.422,80.049,80.594,80.317,79.986,79.443,78.754,78.108,77.741,77.464,77.175,76.578,76.234,75.974,75.95,76.101,76.248,76.563,77.033,77.688,77.979,78.302,78.651,78.989,79.477,79.857,79.728,79.52,79.378,79.36,79.126,79.171,79.19,79.149,78.859,78.385,78.185,78.092,78.358,78.46,78.412,78.397,78.69,78.909,79.153,79.344,79.519,79.626,79.937,79.858,79.58,79.088,78.862,78.698,78.476,78.256,78.039,77.724,77.353,76.973,76.782,76.955,77.576,77.769,77.553,77.302,77.471,77.893,78.209,78.439,78.736,78.884,78.818,78.394,78.086,77.832,77.866,77.804,77.657,77.829,78.236,78.551,78.682,78.854,78.97,79.093,79.225,79.408,79.556,79.632,79.598,79.534,79.264,79.167,79.026,79.027,79.047,79.124,79.054,78.729,78.462,78.32,78.264,78.486,78.828,79.192,79.506,79.703,79.777,79.907,80.052,79.996,79.892,79.789,79.657,79.423,78.949,78.419,78.005,77.901,77.547,77.114,76.992,77.093,77.315,77.74,78.078,78.469,78.804,79.093,79.075,79.346,79.784,79.877,79.772,79.517,79.079,79.006,79.001,79.002,79.019,79.166,79.275,79.186,79.258,79.564,79.773,79.937,79.785,79.827,80.021,79.944,79.784,79.691,79.708,79.736,79.501,79.361
11:32:33,78.836,78.706,78.818,78.965,79.072,79.334,79.512,79.339,79.23,78.997,78.624,78.2,77.789,77.728,77.745,77.652,77.399,77.13,77.158,77.01,76.837,76.797,76.737,76.662,76.621,76.714,77.119,77.631,78.068,78.605,79.263,80.052,80.754,81.325,81.756,81.846,81.763,81.505,81.171,80.762,80.025,79.283,78.697,78.424,78.343,78.338,78.304,78.529,78.871,79.286,79.777,80.552,81.412,81.886,82.013,81.889,81.645,81.377,80.835,80.394,79.907,79.352,78.757,78.116,77.689,77.192,76.939,77.116,77.275,77.226,77.099,77.173,77.346,77.544,77.788,78.208,78.941,79.454,79.399,79.19,79.377,79.598,79.616,79.579,79.425,78.955,78.362,77.657,77.182,77.036,77.009,76.689,76.364,76.165,76.049,76.26,76.728,77.207,77.621,78.027,78.443,78.904,79.392,79.636,79.627,79.623,79.407,79.13,78.86,78.574,78.574,78.553,78.564,78.366,78.259,78.225,78.153,77.888,77.798,77.821,77.99,78.051,77.961,77.8,77.844,77.925,78.132,78.351,78.753,78.848,79.079,79.17,79.088,78.944,78.785,78.564,78.309,78.169,77.952,77.497,77.195,76.603,76.155,75.998,76.101,76.408,76.844,77.278,77.537,77.817,78.303,78.855,79.485,79.925,80.036,80.152,79.986,79.694,79.493,79.303,79.136,78.943,78.644,78.407,78.292,78.209,78.07,78.201,78.492,78.721,78.882,78.981,79.041,79.162,79.166,79.297,79.436,79.572,79.522,79.457,79.28,78.971,78.672
11:32:52,77.428,77.604,77.786,77.962,77.962,77.905,78.206,78.483,78.593,78.463,78.408,78.507,78.484,78.298,78.286,78.439,78.589,78.461,78.251,78.169,78.316,78.568,78.63,78.617,79.067,79.154,79.065,78.936,78.811,78.815,78.97,79.044,78.932,78.753,78.585,78.181,78.026,78.013,78.022,78.118,78.055,77.948,77.741,77.738,78.143,78.64,79.082,79.465,79.588,79.565,79.665,79.945,80.389,80.84,81.089,80.894,80.446,80.045,79.7,79.644,79.795,79.945,80.054,79.899,79.438,79.246,79.179,79.153,78.972,78.823,78.91,78.797,78.814,78.94,78.799,78.774,78.488,78.138,77.942,78.143,78.313,78.301,78.479,78.508,78.299,78.26,78.29,78.448,78.629,78.802,78.72,78.625,78.442,78.263,78.385,78.547,78.718,78.725,78.605,78.497,78.368,78.188,77.991,77.925,77.937,77.978,78.224,78.535,78.991,79.139,79.274,79.452,79.735,80.085,80.091,80.174,79.898,79.553,79.283,78.849,78.753,78.717,78.672,78.364,77.969,78.002,77.965,77.943,77.866,77.78,77.945,77.992,77.739,77.388,77.43,77.637,77.725,77.852,78.01,78.175,78.399,78.417,78.483,78.5,78.597,78.533,78.663,78.767,78.687,78.585,78.252,78.112,78.225,78.405,78.866,79.067,79.1,78.81,78.504,78.357,78.397,78.647,78.604,78.7,78.792,78.612,78.461,78.378,78.534,78.707,78.791,78.639,78.524,78.418,78.156,78.122,78.098,78.266,78.512,78.517,78.354,78.173,78.053
11:33:12,77.579,77.853,78.057,78.526,78.881,79.18,79.167,79.095,79.019,78.968,78.846,78.786,78.71,78.495,78.198,78.145,78.742,79.215,79.6,79.795,79.839,80.101,80.169,80.185,80.31,80.536,80.672,79.878,79.544,79.393,79.497,79.64,79.332,79.0,78.929,78.957,79.031,79.0,79.213,79.131,78.817,78.488,78.158,77.851,77.62,77.408,77.441,77.445,77.516,77.67,78.029,78.689,79.214,79.536,80.032,80.125,80.181,80.043,79.982,79.853,79.651,79.463,79.153,78.877,78.585,78.575,78.919,78.802,78.544,78.163,78.12,78.154,78.023,77.92,77.896,78.162,78.195,78.16,78.375,78.702,78.753,78.726,78.744,78.833,78.945,79.103,79.21,79.236,79.121,78.957,78.719,78.851,78.802,78.711,78.685,78.762,78.77,78.793,78.839,79.114,79.42,79.744,79.996,80.391,80.521,80.359,80.137,79.941,79.75,79.554,79.222,79.171,78.792,78.408,77.83,77.537,77.62,77.666,78.05,78.443,78.819,79.277,79.381,79.741,80.275,80.875,81.086,80.84,80.796,80.414,80.029,79.696,79.406,79.146,78.979,78.641,78.283,78.273,78.445,78.404,78.361,78.563,78.87,79.284,79.446,79.583,79.681,79.79,79.898,79.892,79.876,80.134,80.24,80.204,80.074,80.269,80.44,80.445,80.259,80.078,79.993,79.874,79.502,79.351,79.334,79.325,78.909,78.373,78.026,78.001,78.199,78.541,78.728,78.817,78.466,78.033,77.534,77.704,78.06,78.478,78.697,78.626,78.307
11:33:32,77.55,77.589,77.698,78.201,78.705,79.588,79.886,79.659,79.283,78.917,78.67,78.352,78.186,78.13,78.073,78.126,78.076,78.135,78.639,78.932,79.072,79.333,79.439,79.543,79.846,79.965,79.71,79.416,79.116,78.871,78.942,79.405,79.547,79.491,79.399,78.874,78.189,77.898,77.76,77.862,78.279,78.478,78.275,78.402,78.583,78.678,78.721,78.934,79.298,79.605,79.747,79.597,79.473,79.734,79.613,79.533,79.621,79.849,79.995,79.914,80.07,80.022,79.82,79.848,79.627,79.529,79.336,79.058,78.951,78.972,79.136,78.993,78.958,79.021,78.97,78.914,78.852,78.9,78.936,78.545,78.046,77.576,77.257,76.979,76.627,76.323,76.005,75.78,75.621,75.734,76.149,76.632,76.915,77.269,77.781,78.082,78.43,78.866,79.18,79.388,79.361,79.371,79.271,79.076,78.447,78.011,78.187,78.364,78.51,78.368,78.503,78.566,78.536,78.379,78.286,78.521,78.788,78.889,78.983,79.006,79.089,78.79,78.617,78.753,79.188,79.664,80.025,79.951,79.729,79.477,79.291,79.386,79.448,79.609,79.57,79.41,79.217,79.069,78.929,78.73,78.743,78.792,78.896,79.297,79.512,79.695,79.633,79.463,79.127,78.739,78.502,78.257,78.031,78.063,78.136,78.151,77.956,77.875,77.845,78.104,78.456,78.835,79.123,79.604,79.531,79.098,78.833,78.919,79.214,79.335,79.232,79.144,78.849,78.475,78.178,78.166,78.396,78.513,78.352,78.181,78.28,78.263,78.121
